Day,Home Player,Away Player,Result,Game Log
9,Lukas Ragedanzk,George Williams,5-4,475bf546-696c-4fd5-bacb-040ad5b27446
9,Gabriel Martin,Emily Johnson,5-1,998a0ea0-ade2-4559-9e25-83ea5cf60e21
9,Harry Jones,Owen Jones,5-1,6d48c6fa-2fdf-46b0-8a9a-0c281e7609ab
9,Ethan Taylor,Sophia Filster,4-5,bd71141c-3168-48f0-95e8-9e9f6cf39398
10,Owen Jones,Sophia Filster,5-1,76979bd9-08e4-4c24-940a-053448737a9f
10,Ethan Taylor,George Williams,3-5,5de1f775-8c52-4481-b930-accb3f453c93
10,Lukas Ragedanzk,Leo Evans,5-1,8db791a2-ea04-4fca-aa12-0be137b05dd2
10,Gabriel Martin,Harry Jones,5-3,9ae95431-d952-4404-a61f-c029f4e613df
10,Noah Wilson,Emily Johnson,2-5,c79109bb-f78e-4a8a-95d7-38ad92dba200
11,Lukas Ragedanzk,Sophia Filster,5-4,2917668f-7de9-442a-8cfe-e089b0338215
11,Ethan Taylor,Owen Jones,5-1,466c4695-a8d5-4700-a044-de828808ca70
11,Noah Wilson,George Williams,5-0,06f4157d-dbd6-462d-a21e-6fe1695aea78
11,Gabriel Martin,Leo Evans,4-5,8847ff6f-7c00-4c87-860c-ca364d97c141
11,Emily Johnson,Harry Jones,3-5,3263776d-ad9b-4150-a808-8c612805b1f6
12,Lukas Ragedanzk,Harry Jones,5-3,58e8c35f-73f5-4144-abcc-a825073a4bf9
12,Sophia Filster,Emily Johnson,3-5,96380b14-abe8-4328-ac35-fd6fd0fc9da0
12,George Williams,Leo Evans,5-2,f6abc98b-a027-464f-a2f2-fbfb77c6ff3f
12,Ethan Taylor,Noah Wilson,5-1,1ff923c9-eed2-4b86-a6ce-b76d3d8e104e
12,Owen Jones,Gabriel Martin,5-0,e3f20926-7ea1-4424-a9bb-3e2d8de450ec
13,Gabriel Martin,Ethan Taylor,2-5,e98d76e4-3901-499f-b044-36f58f4b1b3c
13,Leo Evans,Sophia Filster,5-2,7a21dd45-5d69-40e3-ab33-bd719d38d3ea
13,Emily Johnson,Owen Jones,5-2,984a4161-cf47-40cd-a6f5-73bbe4b41066
13,Noah Wilson,Lukas Ragedanzk,5-4,1599d0a2-952f-4ae6-a297-9cdd02b9e8f1
13,George Williams,Harry Jones,4-5,f914c55c-a58f-4f96-ac4b-49db6474bffe
14,Noah Wilson,Harry Jones,1-5,5a04fec1-3369-47d4-9bf0-f08856d49726
14,Lukas Ragedanzk,Gabriel Martin,5-4,e25c6679-5ee3-4bf1-b0b5-13e87412d72c
14,Ethan Taylor,Emily Johnson,2-5,44b92078-19c3-4f43-96bb-1f0ec903ada2
14,Owen Jones,Leo Evans,5-1,8c7173e7-8a89-42ae-9168-3c2d5509c1d2
14,Sophia Filster,George Williams,5-1,cb421c2e-416a-47f1-9995-220ce7f39ff8
15,Lukas Ragedanzk,Ethan Taylor,5-4,818b5b46-f32a-4ad0-bce9-fd9dc849b9ee
15,Emily Johnson,George Williams,5-2,6cfd7fbc-e60a-42fe-93e1-134bc3ea5226
15,Gabriel Martin,Sophia Filster,3-5,d47e5754-0df5-4fe2-9d43-730be8222c1b
15,Leo Evans,Harry Jones,1-5,b455e0bf-b52c-443d-84bb-0434fc9d8b1a
15,Noah Wilson,Owen Jones,1-5,ccf1bf92-fbab-44b7-b742-1f70655868d1
16,George Williams,Lukas Ragedanzk,4-5,a2af6cce-ca84-4427-acb7-916abdd8ed98
16,Sophia Filster,Ethan Taylor,5-3,b8068410-f404-4c03-85fa-803d3caae9ec
16,Owen Jones,Harry Jones,0-5,3065ac5a-ec2e-49b4-8881-fc20aeea02da
16,Leo Evans,Noah Wilson,1-5,8992c422-b2ad-4189-af75-762bd2e58595
16,Emily Johnson,Gabriel Martin,3-5,623b2e7a-94e4-4c61-85c6-8ec933e4b037
17,Ethan Taylor,Harry Jones,1-5,4d405525-7538-4368-a090-e3ffdafcb795
17,Owen Jones,Lukas Ragedanzk,5-2,7bf1c33f-99fc-4a90-abea-dad69de5e29d
17,Sophia Filster,Noah Wilson,5-2,689a08a9-99f3-4a15-8467-d5add5075bf7
17,George Williams,Gabriel Martin,5-4,f059d139-9f79-43b8-8c8b-5d6cd7cc50e4
17,Leo Evans,Emily Johnson,1-5,9a436d5e-24d3-4a42-9576-8e1a1b86b694
18,Sophia Filster,Harry Jones,3-5,f6dfb436-8015-420b-9de9-f3ec63f0c546
18,George Williams,Owen Jones,1-5,03c34137-035b-4e06-aaec-faf99f3e9b01
18,Leo Evans,Ethan Taylor,3-5,52ff1249-c691-441a-b2ff-a43142ed9a4e
18,Emily Johnson,Lukas Ragedanzk,4-5,ccd8dd31-31a8-4e87-880b-08287cfb4507
18,Gabriel Martin,Noah Wilson,1-5,d0be5fe7-3736-4f82-bcc9-473d303c8e6e
