Day,Home Player,Away Player,Result,Game Log
5,PLAYER,Finn van der Kerg,5-1,47a57401-9b2d-463d-81de-bfc58cf8f662
6,Lucas Peeters,Amelia Brown,4-5,b75e9448-9dfc-403d-8556-3340a511356e
6,Oliver Smith,Gabriel Silva,5-0,3ec0ed48-84ce-4729-9dcf-b4438210a25d
6,Mateo Garcia,Dylan Thomas,2-5,c97f9f23-d03a-4777-97fb-dda61096ed03
6,Conor Murphy,Finn van der Kerg,5-1,b864b73d-083c-4291-959e-e73769982aba
6,Ryan Kelly,PLAYER,1-5,e9b9df9f-35e7-455e-b5ef-61b72a56c265
7,Lucas Peeters,Gabriel Silva,5-4,64a37ee1-f0a2-461a-92b2-3467acc49236
7,Amelia Brown,Dylan Thomas,5-0,07473c63-1666-4f42-a110-63d631da6c14
7,Oliver Smith,Finn van der Kerg,4-5,caf1cdf3-c86d-44bb-bd97-1c567c87ce36
7,Mateo Garcia,PLAYER,0-5,fc8e89b4-4a73-41bc-a98d-538ede688932
7,Conor Murphy,Ryan Kelly,5-1,ab6a1ac0-89d4-4e88-a5ea-aa52e42eca20
8,Lucas Peeters,Dylan Thomas,5-1,7f95321e-11c8-460d-89ac-f0a256ba3648
8,Gabriel Silva,Finn van der Kerg,3-5,b6142084-cb1d-4932-8b52-70be7121909e
8,Amelia Brown,PLAYER,2-5,e1c46dfa-da3e-4a7c-8f14-3baf06a89245
8,Oliver Smith,Ryan Kelly,5-2,958bbc51-a207-4c9d-874b-040dafe89af7
8,Mateo Garcia,Conor Murphy,1-5,38fa00b7-76aa-4bfd-a893-5cbcdf727691
9,Lucas Peeters,Finn van der Kerg,5-4,468dd42b-0549-4dc4-90be-10e24f079994
9,Dylan Thomas,PLAYER,3-5,6f644463-e4da-49bc-ba71-97585e5894dc
9,Gabriel Silva,Ryan Kelly,5-0,505099c7-2645-453b-93ea-eb355cfbfb94
9,Amelia Brown,Conor Murphy,5-3,ddde6e86-b345-46cc-b778-f8d9b2f1cd91
9,Oliver Smith,Mateo Garcia,2-5,75c4a452-a6c8-4d61-b198-df6663957edf
10,PLAYER,Lucas Peeters,4-5,6e1dc214-ec84-43cc-858d-53816d5d20e2
10,Ryan Kelly,Finn van der Kerg,1-5,1814679c-eaaf-48b8-9159-5595ca271392
10,Conor Murphy,Dylan Thomas,3-5,8c648a63-ac77-413a-acf2-14d90807711d
10,Mateo Garcia,Gabriel Silva,5-3,dec1e536-691f-46c6-bbdc-0b0abfb6b505
10,Oliver Smith,Amelia Brown,5-3,4e714642-b771-4da9-942b-5fe6f45cb044
11,Ryan Kelly,Lucas Peeters,5-2,6d22d0aa-335d-4fcc-a2e5-b77ee585e9cc
11,Conor Murphy,PLAYER,0-5,4fc73cf9-8916-41c3-9e4d-a834b9f4cfac
11,Mateo Garcia,Finn van der Kerg,1-5,7ae23e05-55d7-49c9-bf29-fec62787bc55
11,Oliver Smith,Dylan Thomas,5-3,bcecf181-5174-4626-8df0-dd9b83bd75b4
11,Amelia Brown,Gabriel Silva,2-5,e0894401-7e96-42a7-87a8-eedd8cffaf65
12,Conor Murphy,Lucas Peeters,3-5,93850731-de72-4cec-a61e-4423c470b024
12,Mateo Garcia,Ryan Kelly,5-2,babc5701-08ce-4065-b56e-c66cfc10be14
12,Oliver Smith,PLAYER,5-4,243e2726-1706-4c1f-94a7-45ede3fbcccd
12,Amelia Brown,Finn van der Kerg,5-2,fb38de71-c582-46d4-8389-bcd4c6219a25
12,Gabriel Silva,Dylan Thomas,3-5,a4cac350-3239-41da-9730-6ac45e274a9b
13,Mateo Garcia,Lucas Peeters,,
13,Oliver Smith,Conor Murphy,,
13,Amelia Brown,Ryan Kelly,,
13,Gabriel Silva,PLAYER,,
13,Dylan Thomas,Finn van der Kerg,,
14,Oliver Smith,Lucas Peeters,,
14,Amelia Brown,Mateo Garcia,,
14,Gabriel Silva,Conor Murphy,,
14,Dylan Thomas,Ryan Kelly,,
14,Finn van der Kerg,PLAYER,,
15,Amelia Brown,Lucas Peeters,,
15,Gabriel Silva,Oliver Smith,,
15,Dylan Thomas,Mateo Garcia,,
15,Finn van der Kerg,Conor Murphy,,
15,PLAYER,Ryan Kelly,,
16,Gabriel Silva,Lucas Peeters,,
16,Dylan Thomas,Amelia Brown,,
16,Finn van der Kerg,Oliver Smith,,
16,PLAYER,Mateo Garcia,,
16,Ryan Kelly,Conor Murphy,,
17,Dylan Thomas,Lucas Peeters,,
17,Finn van der Kerg,Gabriel Silva,,
17,PLAYER,Amelia Brown,,
17,Ryan Kelly,Oliver Smith,,
17,Conor Murphy,Mateo Garcia,,
18,Finn van der Kerg,Lucas Peeters,,
18,PLAYER,Dylan Thomas,,
18,Ryan Kelly,Gabriel Silva,,
18,Conor Murphy,Amelia Brown,,
18,Mateo Garcia,Oliver Smith,,
