Day,Home Player,Away Player,Result,Game Log
15,Ryan Fraser,Sofia Martinez,2-5,7b0e4fb9-6678-493a-a87a-bdd9560fbdc1
15,Maximilian Sägemann,Adam Novák,1-5,d2f304c3-d35e-4166-b8ed-a1b66bf86d5a
15,Lucas de Jong,Hugo Fernández,5-4,46819937-53fc-4705-9b31-80de94a47a23
15,Louis Dubois,Lukas Kazlauskas,5-4,943b035a-bdea-41dd-9236-1a4460090840
15,Gareth Williams,Charlie Wilson,4-5,342f3bfb-bbe0-48aa-b373-14d03e8d38ff
16,Hugo Fernández,Lukas Kazlauskas,1-5,e116168f-732b-42fd-bedb-6bc74ecf16e0
16,Lucas de Jong,Gareth Williams,2-5,bc99c4d0-8e5f-418b-98c9-c6bfa4044258
16,Ryan Fraser,Louis Dubois,5-2,2fe55238-d660-44c7-94bf-c3880b7ac568
16,Sofia Martinez,Adam Novák,5-4,0ae3ce90-61e2-4864-8035-3fb1172d6a16
16,Maximilian Sägemann,Charlie Wilson,3-5,8a818f15-7fde-4cbb-a791-92278d4692bb
17,Hugo Fernández,Adam Novák,2-5,f13a1402-26ed-4318-ae3d-b1737a221c86
17,Maximilian Sägemann,Sofia Martinez,3-5,fbea88bf-53a9-465d-8762-cff518e732cf
17,Lucas de Jong,Lukas Kazlauskas,3-5,b16f43ae-f6bd-4973-b77b-7aa67a6cf784
17,Ryan Fraser,Charlie Wilson,3-5,9d253c06-d43a-446d-8d1c-a96110ff67af
17,Louis Dubois,Gareth Williams,5-2,461bef54-11db-4bb0-bbfb-99b86888f762
18,Lukas Kazlauskas,Maximilian Sägemann,3-5,e11e5252-739d-40a2-be21-f926a99b930c
18,Charlie Wilson,Lucas de Jong,3-5,553c3bb6-f91d-4875-a256-13e2b393ba95
18,Gareth Williams,Ryan Fraser,5-4,b8d32c12-b463-4adb-972f-f39979ecaa48
18,Louis Dubois,Adam Novák,1-5,1abb5961-d792-471a-a276-26a64c8fdcaa
18,Sofia Martinez,Hugo Fernández,5-4,5cd1b17d-d708-4b2f-9da5-77d401190622
