Day,Home Player,Away Player,Result,Game Log
7,Gabriel Silva,Dennis Jones,3-5,488c38b7-dd5c-4458-99d8-2e0b58bd775b
7,Dylan Thomas,Aiden MacDonald,3-5,39b8cf13-1292-465b-b147-40d1ad0f0829
7,Jakub Nowakicz,Lucas Peeters,5-4,1d94c0cf-99aa-4aab-8482-a35cb827a4cb
7,Conor Murphy,Amelia Brown,3-5,8a9f3582-51f5-4c30-b843-7c2fd615fd97
8,Jakub Nowakicz,Amelia Brown,5-1,24487e88-c50a-43da-b4db-4257ae33155b
8,Lucas Peeters,Aiden MacDonald,4-5,dc079f15-0c3b-40cc-87d4-a96dca9ee8ef
8,Conor Murphy,Dennis Jones,5-1,7d0dd104-272b-40d7-940f-40b8999e2542
8,Dylan Thomas,Owen Carter,3-5,fcf12c46-7c8a-48f5-a045-bdd0d42916d6
8,Gabriel Silva,Finn van der Kerg,5-2,1121754d-91f4-495d-bfae-69749ccee8c0
9,Conor Murphy,Finn van der Kerg,5-0,ac5c169a-6634-42bb-bd66-e546254b0429
9,Lucas Peeters,Owen Carter,5-2,33890454-a787-4d7c-99dc-bd8345781e5b
9,Dylan Thomas,Gabriel Silva,1-5,a8645ce2-d012-4a94-bd8c-b1731cefdfea
9,Jakub Nowakicz,Aiden MacDonald,5-4,b676d006-096b-4320-9451-c03bac6ee2c9
9,Amelia Brown,Dennis Jones,5-2,abf66ecf-85a5-45a8-9c55-e162aa09a30e
10,Amelia Brown,Jakub Nowakicz,5-4,25e97444-0409-44fa-a2b5-58afd7232f53
10,Dennis Jones,Conor Murphy,0-5,4131c30a-2f4e-4fb6-80f7-c5460ff3d148
10,Owen Carter,Dylan Thomas,1-5,4207ff47-e209-4c55-9750-391bea890e47
10,Aiden MacDonald,Lucas Peeters,3-5,52a8b81e-7c27-4eb5-8289-8b3153303a3d
10,Finn van der Kerg,Gabriel Silva,4-5,607c7acf-5936-4383-aa5c-f132ca53c0ea
11,Amelia Brown,Aiden MacDonald,3-5,a6fe324c-96d8-4b52-85fb-165e53e9003a
11,Lucas Peeters,Dennis Jones,5-0,1e157e70-c387-4ff6-b143-01ddde43fdbb
11,Conor Murphy,Owen Carter,3-5,f459cd51-e354-4c99-b871-814bca3444f2
11,Dylan Thomas,Finn van der Kerg,2-5,b00b7f97-b447-4c74-8e8a-7777f4618637
11,Gabriel Silva,Jakub Nowakicz,1-5,fc1d0c45-dedc-4225-921c-0889b11bb842
12,Aiden MacDonald,Finn van der Kerg,3-5,269b259b-31fc-4717-99c8-858d3fd572e0
12,Lucas Peeters,Dylan Thomas,0-5,59c027bf-eae5-4794-95ac-bda6ba5fc735
12,Amelia Brown,Gabriel Silva,5-1,f9e2b5b9-1909-4b45-8541-f4ed5aa14637
12,Conor Murphy,Jakub Nowakicz,5-2,f4098257-260d-47d5-a3ec-68ee7b6e4c8e
12,Dennis Jones,Owen Carter,5-3,98522b45-4fb9-4cb7-aca0-0fd543fff535
13,Conor Murphy,Lucas Peeters,0-5,fb81ae79-f1b4-49be-916f-db59a683aa6c
13,Dylan Thomas,Amelia Brown,1-5,12267bc9-08fb-4f60-890b-00217ae5a6ea
13,Gabriel Silva,Aiden MacDonald,2-5,3055e4b1-1e80-474a-9350-5dbefe6951e5
13,Finn van der Kerg,Dennis Jones,3-5,16233814-fa54-4692-b864-aa887f7225aa
13,Owen Carter,Jakub Nowakicz,1-5,87ca334c-1bc7-4815-9ac5-21f6350ed114
14,Owen Carter,Lucas Peeters,3-5,e276b5b7-eab3-42bd-a7bb-c9045de8208b
14,Dennis Jones,Amelia Brown,3-5,63a2316c-fd60-461c-b07b-dfab8412abf7
14,Aiden MacDonald,Jakub Nowakicz,2-5,2ccf989b-279a-48f2-a411-d37c0933364c
14,Gabriel Silva,Dylan Thomas,4-5,f50285ed-9287-4487-b19d-05cf37f9e568
14,Finn van der Kerg,Conor Murphy,5-2,e557fb43-a07f-4ef2-9e4d-61f748041b2d
15,Dennis Jones,Jakub Nowakicz,1-5,a090291c-436f-4b2b-b1bf-2923233b79fc
15,Owen Carter,Aiden MacDonald,3-5,fb9b2ff9-c586-4e0e-af4a-9bc18a22c9be
15,Finn van der Kerg,Amelia Brown,2-5,b080f724-2ac9-44df-a38e-4c76af1d4c33
15,Gabriel Silva,Lucas Peeters,2-5,fe9df39e-f4d9-4508-9263-a18ba14d8467
15,Dylan Thomas,Conor Murphy,2-5,680bb904-ecb4-4f23-922b-92948cedfbad
16,Owen Carter,Finn van der Kerg,5-3,7267ebb2-71f5-41a5-ada1-4f5d08667364
16,Lucas Peeters,Jakub Nowakicz,0-5,e4fe3907-99f1-48e8-be60-8388e3b458e9
16,Amelia Brown,Conor Murphy,5-4,20232c11-786a-43fd-9827-9791587592e3
16,Aiden MacDonald,Dylan Thomas,5-4,551173dc-bfe1-4462-99e8-0d2936437727
16,Dennis Jones,Gabriel Silva,5-2,e07ec02f-da0d-4718-a4c1-e6139608bb64
17,Aiden MacDonald,Dennis Jones,5-2,aa2255e2-1426-4972-bb2b-f06c7e69a7e7
17,Amelia Brown,Owen Carter,5-2,6163a815-0079-43aa-953c-7ca2cb00c87d
17,Dylan Thomas,Jakub Nowakicz,2-5,3121ecad-c37c-4a63-b4d3-299dd0452a2e
17,Lucas Peeters,Finn van der Kerg,5-2,af0af3da-4e03-48da-8d48-c887219baed8
17,Conor Murphy,Gabriel Silva,4-5,c50886b0-d8f9-4643-b424-f00200f6e424
18,Finn van der Kerg,Jakub Nowakicz,1-5,d79f6cea-0bc3-40e4-8448-f0f280c85f97
18,Dylan Thomas,Dennis Jones,5-3,32e3e221-8199-46e3-b9cf-6a72e469a7e4
18,Conor Murphy,Aiden MacDonald,5-4,d908715e-a06a-4d9b-8fab-74b24b4ca0c3
18,Lucas Peeters,Amelia Brown,2-5,55681a8f-5286-41da-a847-29e5f84ad946
18,Gabriel Silva,Owen Carter,4-5,6d21a7b9-edc0-4e5e-ba03-5853e4b050be
